Headliner,Count,Total_Gross,Tickets_Sold,Avg_Ticket_Price
Peach Pit,13,1951760.61,41794,45.36
Aziz Ansari,6,1935260.06,21914,89.65
Gabriel Iglesias,7,1935045.24,24165,80.62
The Australian Pink Floyd Show,14,1925922.74,31250,61.36
YOASOBI,2,1924715.22,16131,118.4
Alex Warren,7,1913569.62,35862,49.18
The Corrs,2,1909096.62,26970,70.73
"Earth, Wind &amp; Fire",3,1908525.7,16139,117.75
Sabino,2,1904835.51,47946,60.49
Boyz II Men,4,1898802.0,13717,133.54
"""Jurassic World: The Experience""",69,1891737.8,66948,26.64
Counting Crows,5,1885361.68,22726,85.34
The Saw Doctors,7,1873001.43,32057,58.49
You Me At Six,7,1865018.59,32810,53.18
"""Hot Wheels Stunt Show""",8,1834571.69,35272,49.9
Enjambre,3,1831260.22,38787,44.89
Lynyrd Skynyrd,6,1810870.44,28721,62.71
Joaquin Sabina,3,1801630.87,17325,109.96
Fito Páez,7,1800630.67,28442,72.55
John Mulaney,3,1786115.13,19110,97.89
All Time Low,8,1774614.0,23836,75.04
Cigarettes After Sex,2,1763015.27,24414,70.18
Japanese Breakfast,9,1757627.5,27952,63.18
Quevedo,3,1752786.05,26839,67.1
Lindsey Stirling,5,1743800.89,29125,62.61
Colter Wall,9,1739360.97,25673,71.49
Treaty Oak Revival,3,1722311.0,29184,60.78
Intocable,1,1698750.6,29033,58.51
SLANDER,4,1696120.02,32995,49.84
Alison Krauss &amp; Union Station,6,1695392.0,20869,79.51
"A Day To Remember, Yellowcard",5,1694111.92,28929,57.62
KATSEYE,3,1679159.42,14374,116.97
Rob Thomas,6,1677826.59,20118,85.32
Amy Macdonald,3,1663050.22,24998,60.74
Trevor Noah,5,1655354.98,19816,86.4
John Fogerty,3,1650251.07,16493,101.2
"Judas Priest, Alice Cooper",3,1649160.0,23742,65.29
The Marias,2,1640982.0,25530,64.57
Roxette,4,1627102.46,19756,82.44
Jessie Reyez,20,1621339.39,41225,38.13
Erreway,1,1621206.73,14171,114.4
Deacon Blue,2,1619170.03,23123,65.42
Warren Zeiders,8,1567971.08,31064,50.97
Los Ángeles Azules,3,1563067.21,24781,68.52
Jordan Davis,4,1558921.77,24469,65.38
"""New Years at the Bowl""",1,1558785.87,13625,114.41
Spiritbox,8,1558715.12,29015,55.21
Parkway Drive,3,1551862.69,20387,76.12
Jake Shane,14,1550131.44,29392,51.18
Caetano Veloso,1,1547592.13,39722,38.96
Sodagreen,3,1540841.64,8145,204.38
The Warning,5,1535548.61,39612,38.67
Sugababes,5,1515468.07,25902,57.66
Brett Eldredge,2,1508635.17,14820,104.18
"""Sessanta""",3,1501584.5,19177,86.54
"""Riverdance""",8,1490022.46,19304,74.58
Molotov,4,1489210.19,30032,52.8
Kelsea Ballerini,1,1482061.0,14242,104.06
Davido,3,1481164.0,24545,58.47
Tool,1,1479987.07,11089,133.46
Steven Wilson,11,1476376.37,24434,68.97
Meek Mill,1,1473026.24,15118,97.44
"""Reggae Fest""",1,1472479.5,12067,122.03
Maxwell,4,1471210.45,13116,121.49
Tom Grennan,4,1452374.15,22927,60.33
Dream Theater,6,1444771.95,14373,99.7
Jordan B. Peterson,9,1439759.03,21602,70.01
Wiz Khalifa,7,1432323.8,30614,52.37
"Hasan Minhaj, Ronny Chieng",1,1432214.72,16626,86.14
Erykah Badu,3,1428882.85,11425,137.23
Zach Top,3,1422446.0,20809,61.09
Staind,3,1417594.5,24837,65.46
Haim,3,1415502.23,20067,70.79
BIBI,6,1409808.73,16528,86.52
HAUSER,5,1394963.58,16316,84.25
Hank Williams Jr.,3,1393018.75,20825,69.56
Foster The People,8,1391770.19,26894,50.1
Inhaler,9,1370964.42,29945,46.17
The Basement Yard,5,1368711.25,20117,62.5
Wardruna,10,1366768.62,19796,69.0
Tiësto,1,1365799.17,17617,77.53
AIR,5,1359539.83,18936,72.76
Trueno,5,1355442.77,28979,44.72
Martin Garrix,1,1350342.5,25884,52.17
Humbe,1,1345669.95,20608,65.3
Kevin Gates,5,1336127.59,22896,56.58
Morrissey,1,1332744.0,10908,122.18
Aurora,3,1326765.6,23443,59.26
Nina Chuba,1,1324911.81,13480,98.29
Jamiroquai,1,1311689.44,13436,97.62
Blue Rodeo,6,1308073.96,23863,55.55
Joanne McNally,15,1306249.17,22581,56.29
Kenshi Yonezu,2,1305742.18,11767,110.95
Little Big Town,3,1303922.5,18841,66.51
Sigur Rós,2,1298895.89,17030,75.34
"The Flaming Lips, Modest Mouse",6,1298582.75,24973,52.87
Milo J,3,1291687.82,28226,46.47
Turnover,9,1283310.21,27247,45.63
Bonnie Raitt,4,1281603.38,17750,81.45
Zhou Shen,1,1272362.55,7876,161.55
Madness,2,1269351.83,21140,57.64
Jackson Browne,1,1264527.51,11052,114.42
Chicago,5,1261184.65,12635,103.66
Simple Plan,5,1260167.35,24270,52.46
"Steve Martin, Martin Short",1,1255997.5,8394,149.63
Bob Dylan,2,1252619.12,11373,113.46
Los Autenticos Decadentes,3,1246425.63,26143,45.02
Raye,1,1241420.88,16998,73.03
Amyl and the Sniffers,11,1228568.08,32354,34.13
Max McNown,28,1222348.95,39910,29.99
Jagged Edge,6,1217657.13,16030,73.99
Slipknot,1,1216086.29,13084,92.94
Shane Gillis,1,1210244.0,16504,73.33
"""CCXP""",1,1203155.48,27016,44.53
Tom Odell,4,1203098.56,18087,67.85
"""Danny Go!""",4,1199268.3,21596,53.85
Rilo Kiley,4,1186555.93,15332,71.25
"Bullet For My Valentine, Trivium",5,1177024.43,18600,63.53
Justice,3,1167470.69,20218,56.69
Il Divo,6,1167374.23,11505,101.31
Meshuggah,6,1165126.84,19923,57.73
"""A State Of Trance""",1,1162194.63,11593,100.25
Marti Pellow,5,1150923.79,14891,77.11
Falling In Reverse,2,1136879.34,18241,61.34
Barenaked Ladies,5,1129044.65,23669,51.82
Andres Calamaro,6,1123524.29,21595,51.94
Chelsea Handler,8,1117669.93,12149,86.21
Gary Barlow,6,1117195.36,10206,110.51
Myles Smith,10,1111352.47,23565,47.27
Megan Moroney,1,1110740.75,11890,93.42
Paul Heaton,2,1107803.51,22382,49.36
"Breaking Benjamin, Staind",2,1101351.3,26575,41.43
"Coheed and Cambria, Taking Back Sunday",3,1092169.79,19771,52.77
"""Resuena Dos Equis""",1,1091286.87,14216,76.76
Three Days Grace,3,1089637.93,17975,57.07
GloRilla,5,1089586.79,19005,59.55
Architects (UK),5,1087056.08,19422,48.86
Manuel Medrano,3,1076343.3,19081,54.73
Chevelle,7,1076214.0,19793,54.98
Stay-C,7,1070467.95,15196,73.97
Sarah Millican,6,1068714.5,21833,48.24
Arcade Fire,4,1063959.19,10193,99.72
Nanpa Básico,2,1062059.42,28351,38.4
Los Bunkers,8,1053432.48,22363,46.13
"Nikki Glaser, David Spade",3,1045825.62,10456,100.05
BINI,3,1037800.89,11460,93.79
"Tedeschi Trucks Band, Whiskey Myers",2,1034864.33,14334,77.81
Mother Mother,5,1034647.3,25143,40.18
Myke Towers,3,1031497.55,19004,54.42
Kase.O,3,1028433.05,19586,51.15
Nate Bargatze,1,1027803.31,15494,66.34
"""Summer of Loud""",3,1022646.25,20686,50.06
Lorde,1,1022188.69,13965,73.2
Shaboozey,10,1021970.0,27786,37.55
Cliff Richard,1,1015396.36,9052,112.17
Eslabon Armado,3,1011031.2,14692,69.09
A Day To Remember,4,1010441.28,16782,59.56
Kehlani,2,1007578.9,12207,82.18
Torvill &amp; Dean,3,1003856.76,14351,70.09
Jon Pardi,4,1002488.16,19251,52.6
Wolf Alice,3,999564.68,16815,56.15
La Femme,3,998617.69,15906,46.69
Killswitch Engage,7,995224.55,16683,59.84
Medjy,2,984507.85,9216,105.48
Bush,5,981747.51,19580,50.09
Chris Lake,4,975206.4,18643,50.93
Jason Bonham’s Led Zeppelin Evening,7,974217.31,14505,69.39
Lucy Dacus,4,969577.5,17965,55.9
El Cuarteto de Nos,2,965063.41,19159,50.18
Jack's Mannequin,8,963961.0,20568,46.07
